date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:03	12599/12599	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202020%2023:20:07%20GMT	https://lesion.000webhostapp.com/	C:/Mis%20lugares%20Web/Sssssaa/lesion.000webhostapp.com/index.html	(from )
20:20:03	6189/6189	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Jun%202020%2023:20:06%20GMT	https://lesion.000webhostapp.com/robots.txt		(from )
20:20:03	11977/11977	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Fri,%2015%20Jun%202018%2006:39:42%20GMT	https://lesion.000webhostapp.com/favicon.ico	C:/Mis%20lugares%20Web/Sssssaa/lesion.000webhostapp.com/favicon.ico	(from https://lesion.000webhostapp.com/)
20:20:03	773/773	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Jun%202018%2006:43:28%20GMT	https://lesion.000webhostapp.com/css/reset.min.css	C:/Mis%20lugares%20Web/Sssssaa/lesion.000webhostapp.com/css/reset.min.css	(from https://lesion.000webhostapp.com/)
20:20:03	5363/5363	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Jun%202018%2006:43:35%20GMT	https://lesion.000webhostapp.com/css/style.css	C:/Mis%20lugares%20Web/Sssssaa/lesion.000webhostapp.com/css/style.css	(from https://lesion.000webhostapp.com/)
20:20:03	86351/86351	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-1514f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/Mis%20lugares%20Web/Sssssaa/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from https://lesion.000webhostapp.com/)
20:20:04	354/354	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2006:43:05%20GMT	https://lesion.000webhostapp.com/js/security/index.js	C:/Mis%20lugares%20Web/Sssssaa/lesion.000webhostapp.com/js/security/index.js	(from https://lesion.000webhostapp.com/)
20:20:04	406/406	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2006:39:48%20GMT	https://lesion.000webhostapp.com/js/security/1.js	C:/Mis%20lugares%20Web/Sssssaa/lesion.000webhostapp.com/js/security/1.js	(from https://lesion.000webhostapp.com/)
20:20:04	563/563	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2006:44:30%20GMT	https://lesion.000webhostapp.com/js/security/btc.js	C:/Mis%20lugares%20Web/Sssssaa/lesion.000webhostapp.com/js/security/btc.js	(from https://lesion.000webhostapp.com/)
20:20:27	2046/2046	---M--	200	added ('OK')	image/png	etag:%225ee24fac-7fe%22	https://cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	C:/Mis%20lugares%20Web/Sssssaa/cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	(from https://lesion.000webhostapp.com/)
20:20:27	204675/204675	---MCZ	200	added ('OK')	application/javascript	etag:W/%229c12eff964a15cb6bd681d827f00c527%22	https://a.opmnstr.com/app/js/api.min.js	C:/Mis%20lugares%20Web/Sssssaa/a.opmnstr.com/app/js/api.min.js	(from https://lesion.000webhostapp.com/)
